               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093363,            0.038953,                   0,              0.3331,             0.22222,             0.30229,            0.073778,            0.070917,            0.040673,                   0,           0.0033238,           0.0033238,            0.070085
                   1,            0.077158,            0.028615,                   0,             0.51918,             0.36317,             0.50007,             0.14453,            0.075316,            0.026361,                   0,           0.0065254,           0.0065254,            0.039954
                   2,            0.077743,            0.023561,                   0,             0.14713,             0.77778,             0.21225,            0.069217,            0.076148,            0.024105,                   0,           0.0095949,           0.0095949,           0.0096898
                   3,            0.071291,            0.019934,                   0,                   1,              0.7136,             0.87593,             0.34541,            0.060435,            0.022938,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.058281,            0.019738,                   0,             0.35136,             0.96399,              0.5571,             0.23439,            0.056931,            0.017819,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.061008,            0.017822,                   0,             0.62603,             0.88889,             0.81516,             0.31498,             0.05256,            0.016758,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.045525,            0.017015,                   0,                   1,              0.8629,               0.975,             0.49217,            0.047094,            0.014573,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.040831,            0.014771,                   0,             0.97558,                   1,               0.995,             0.67559,            0.035328,             0.01271,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.042364,            0.014041,                   0,                   1,             0.92941,               0.995,             0.67854,            0.031027,            0.012406,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.037308,            0.013365,                   0,             0.98191,                   1,               0.995,             0.52141,            0.033919,            0.011684,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.033488,            0.012565,                   0,             0.99071,                   1,               0.995,             0.71705,            0.022631,            0.010699,                   0,            0.008218,            0.008218,            0.008218
                  11,              0.0319,            0.011912,                   0,              0.9918,                   1,               0.995,             0.65525,            0.027429,            0.010286,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.031346,            0.012306,                   0,             0.99231,                   1,               0.995,             0.78553,             0.02445,           0.0097131,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.029092,            0.011596,                   0,             0.99173,                   1,               0.995,             0.72868,             0.02514,           0.0096804,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.027342,            0.011625,                   0,             0.99237,                   1,               0.995,             0.79203,            0.023863,           0.0092942,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.025878,            0.011299,                   0,             0.99235,                   1,               0.995,             0.60599,            0.026166,           0.0090875,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.025215,            0.010935,                   0,             0.99253,                   1,               0.995,             0.82243,            0.025052,           0.0091784,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.022698,              0.0106,                   0,              0.9925,                   1,               0.995,             0.72199,             0.02197,           0.0087146,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.024051,            0.010569,                   0,             0.99226,                   1,               0.995,              0.6971,            0.022653,           0.0087641,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.023726,            0.010525,                   0,             0.99254,                   1,               0.995,             0.76498,            0.019618,           0.0084817,                   0,            0.006436,            0.006436,            0.006436
                  20,             0.02284,            0.010468,                   0,             0.99282,                   1,               0.995,             0.86723,            0.016331,           0.0082482,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.021658,            0.010635,                   0,             0.99264,                   1,               0.995,             0.78492,            0.020221,           0.0081681,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.020919,            0.010176,                   0,             0.99263,                   1,               0.995,             0.84255,            0.017448,           0.0077365,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.019942,           0.0095344,                   0,             0.99282,                   1,               0.995,             0.88338,            0.016729,           0.0077175,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.020231,            0.010213,                   0,             0.99292,                   1,               0.995,             0.85753,            0.016378,           0.0077304,                   0,            0.005446,            0.005446,            0.005446
